time,index,confidence,x_norm,y_norm,base_data
193.792019572,5814,1,0.580134170747701,0.456975687610193,4464.917165001-0.0
193.824004853,5815,1,0.579727496436641,0.458290172486523,4464.949150282-0.0
193.857013032,5816,1,0.579880850061366,0.457716120251128,4464.982158461-0.0
193.891994756999,5817,1,0.577254608332994,0.458571721978828,4465.017140186-0.0
193.924061657999,5818,1,0.576209641145065,0.458866416361154,4465.049207087-0.0
193.956579934,5819,1,0.576231977993769,0.458620713061411,4465.081725363-0.0
193.992014693999,5820,1,0.576379293318186,0.458137923950511,4465.117160123-0.0
194.023969868999,5821,1,0.576339172263347,0.457744719632476,4465.149115298-0.0
194.056035813999,5822,1,0.576234534914666,0.457836056510901,4465.181181243-0.0
194.09203421,5823,1,0.576647953048871,0.456893998731545,4465.217179639-0.0
194.124012036999,5824,1,0.576668469249917,0.457162764447784,4465.249157466-0.0
194.15600037,5825,1,0.576587690988732,0.457232594411545,4465.281145799-0.0
194.192017079999,5826,1,0.576096467385116,0.457330929899602,4465.317162509-0.0
194.22398532,5827,1,0.575710282253405,0.457788120341885,4465.349130749-0.0
194.255994552999,5828,1,0.57622206745233,0.457796420535168,4465.381139982-0.0
194.291969569,5829,1,0.575341121838959,0.457577703307148,4465.417114998-0.0
194.323989293999,5830,1,0.575740804757956,0.458022133101743,4465.449134723-0.0
194.355963559,5831,1,0.576008385788441,0.458333201993554,4465.481108988-0.0
194.392011045999,5832,1,0.575420819261207,0.457296085027002,4465.517156475-0.0
194.423986549,5833,1,0.575983259155501,0.458102241368199,4465.549131978-0.0
194.455995889,5834,1,0.575760226854597,0.458020456037531,4465.581141318-0.0
194.492003371,5835,1,0.57553324064193,0.457919602389826,4465.6171488-0.0
194.524010442,5836,1,0.575255895013832,0.458065507928904,4465.649155871-0.0
194.555971926,5837,1,0.575601630930867,0.458106575332668,4465.681117355-0.0
194.592010926,5838,1,0.575152585401965,0.45697761020994,4465.717156355-0.0
194.6239743,5839,1,0.575453382854494,0.457138894160657,4465.749119729-0.0
194.656025396999,5840,1,0.575045392805445,0.457728620615395,4465.781170826-0.0
194.691996357,5841,1,0.575426797045633,0.457054746139018,4465.817141786-0.0
194.724019539,5842,1,0.575197938149964,0.454849167643426,4465.849164968-0.0
194.755969565,5843,1,0.575687093313753,0.456222084360016,4465.881114994-0.0
194.792031886,5844,1,0.575363209953588,0.454230220669135,4465.917177315-0.0
194.824011512,5845,1,0.575789986407698,0.453967905894283,4465.949156941-0.0
194.855974826,5846,1,0.575766901399413,0.454408639611096,4465.981120255-0.0
194.89200897,5847,1,0.576069028220842,0.454134815087983,4466.017154399-0.0
194.923989636,5848,1,0.57619427614235,0.452683587263168,4466.049135065-0.0
194.95602411,5849,1,0.575867362290706,0.453493115067634,4466.081169539-0.0
194.991988616999,5850,1,0.575267150684027,0.452578599900289,4466.117134046-0.0
195.024009968,5851,1,0.575180372285318,0.452398061053149,4466.149155397-0.0
195.055959951,5852,1,0.575118532956146,0.452316711630033,4466.18110538-0.0
195.092055083,5853,1,0.574584771492402,0.451553381514859,4466.217200512-0.0
195.124002731,5854,1,0.57470113314234,0.451421121945502,4466.24914816-0.0
195.155983995999,5855,1,0.575092579893378,0.450712382894485,4466.281129425-0.0
195.191982812999,5856,1,0.575191147034643,0.450370018934898,4466.317128242-0.0
195.224080034,5857,1,0.575311600375636,0.45007684377107,4466.349225463-0.0
195.255989275999,5858,1,0.574873776198047,0.449500477963706,4466.381134705-0.0
195.292018499999,5859,1,0.574712794049058,0.449275356227275,4466.417163929-0.0
195.323996994999,5860,1,0.574637850132063,0.449546280001687,4466.449142424-0.0
195.355988333999,5861,1,0.57451723358525,0.449630298828458,4466.481133763-0.0
195.392002326999,5862,1,0.574827191116528,0.449841324401952,4466.517147756-0.0
195.42400146,5863,1,0.575030695265081,0.449913633497919,4466.549146889-0.0
195.455992507,5864,1,0.575157015466831,0.447636505841984,4466.581137936-0.0
195.492000110999,5865,1,0.575226760406695,0.447310936918143,4466.61714554-0.0
195.524020958999,5866,1,0.575690400880935,0.448850157121559,4466.649166388-0.0
195.555990598999,5867,1,0.575940684665326,0.445745183611532,4466.681136028-0.0
195.59198406,5868,1,0.575678474515455,0.446975772323908,4466.717129489-0.0
